Timestamp,X_angle,y_angle,z_angle,Camera 1 Pitch,Camera 2 Pitch,Camera 3 Pitch,Camera 4 Pitch,Camera 1 Yaw,Camera 2 Yaw,Camera 3 Yaw,Camera 4 Yaw,gyro_x,gyro_y,gyro_z,temperature,pressure
2025-01-16 14:47:18,0,0,0,0,0,0,0,0,-0.46336410893739366,1.321293341094289,0.22991797791182686,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.44998272109578363,1.3533314715996827,0.3153101035292838,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.4396232400413758,1.352729440354196,0.3118001477772969,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.44889359168424664,1.349044266784451,0.3221457766940592,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.45609419502375503,1.332790579304427,0.28751380510912766,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.4607050857107221,1.314337568010069,0.29876702397834426,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.4734323892520659,1.3102082130927029,0.6484286325760488,5242.88,2048.0
2025-01-16 14:47:19,0,0,0,0,0,0,0,0,-0.4770476355079552,1.3107982011969623,0.6370180115808985,5242.88,2048.0
2025-01-16 14:47:20,0,0,0,0,0,0,0,0,-0.4363729838742632,1.3030739284107562,0.6801929251110299,5242.88,2048.0
2025-01-16 14:47:20,0,0,0,0,0,0,0,0,-0.47244677398041796,1.3157829608625895,0.6465213702835219,5242.88,2048.0
2025-01-16 14:47:20,0,0,0,0,0,0,0,0,-0.4370712947845539,1.311494655863915,0.6196860565666044,5242.88,2048.0
2025-01-16 14:47:20,38.5027771619531,127.32974491615735,81.90081641612065,0,4.304163963494648,0,0,0,128.6490522346769,0,0,-0.48054583054463273,1.3019566468609962,0.6564851041968562,5242.88,2048.0
2025-01-16 14:47:20,38.5027771619531,127.32974491615735,81.90081641612065,0,4.304163963494648,0,0,0,128.6490522346769,0,0,-0.4976009462808007,1.2946340699960108,0.6629867049937961,5242.88,2048.0
2025-01-16 14:47:20,38.81067929148694,127.80712626004897,82.49960854407816,0,4.696172505322789,0,0,0,128.14333011440982,0,0,-0.49033819584446936,1.2856980388218968,0.6521993844927744,5242.88,2048.0
2025-01-16 14:47:21,38.81067929148694,127.80712626004897,82.49960854407816,0,4.696172505322789,0,0,0,128.14333011440982,0,0,-0.47555655304713046,1.2948085067836228,0.654528834801596,5242.88,2048.0
2025-01-16 14:47:21,134.4598550763767,44.6263003623029,86.9105611122015,0,-13.205434461919767,0,0,0,168.16423321389038,0,0,-0.4741704982291738,1.280539567452335,0.6482297106735601,5242.88,2048.0
2025-01-16 14:47:21,134.49702186394794,44.65691687701685,86.9719921258308,0,-13.465975851157225,0,0,0,168.80361141413152,0,0,-0.45883206061735377,1.2950553990866234,0.677223407512405,5242.88,2048.0
2025-01-16 14:47:21,134.85839123551,44.97711383131653,87.39098212423806,0,-15.540109753934459,0,0,0,177.44380334515483,0,0,-0.472629403922403,1.256609967792291,0.7008380912460467,5242.88,2048.0
2025-01-16 14:47:21,135.0977557627489,45.19041221597144,87.69530514153334,0,-17.5252094357575,0,0,0,185.05798158777117,0,0,-0.49006216158394594,1.2626600009248294,0.727785777972857,5242.88,2048.0
2025-01-16 14:47:21,135.10875159397386,45.199482278914715,87.71939609333486,0,-17.707413564392738,0,0,0,185.46482340481313,0,0,-0.487204489380358,1.260597624287334,0.7788868879907938,5242.88,2048.0
2025-01-16 14:47:22,135.09530001193787,45.1879949989137,87.69482520834678,0,-17.522306808108418,0,0,0,184.97185507774347,0,0,-0.48565826008338997,1.2267324415599858,0.7939488180175106,5242.88,2048.0
